518 Valencia, S.F.;-122.4243926;37.7644923
924 Gilman Street, Berkeley;-122.2993211;37.8795371
Amnesia, 853 Valencia at 20th, S.F.;-122.4233043;37.75931
Amnesia, S.F.;-122.4233043;37.75931
Amoeba Music, S.F.;-122.4548087;37.768922
Annex, 468 3rd Street, Oakland;-122.2766342;37.7972863
Artist's Television Access, 992 Valencia St., S.F.;-122.4236529;37.7570751
Bender's, S.F.;-122.4194942;37.7601859
Bimbo's 365 Club, S.F.;-122.4155251;37.8037564
Bottom of the Hill, S.F.;-122.3986239;37.7649937
Brick and Mortar, S.F.;-122.4226282;37.7697351
Cafe du Nord, S.F.;-122.4304562;37.7667174
Caravan Lounge, San Jose;-121.8946633;37.3329336
Catalyst Atrium, Santa Cruz;-122.0259175;36.9712949
Catalyst, Santa Cruz;-122.0281115;36.9712992
Chapel, S.F.;-122.421198;37.760528
Civic Center, 99 Grove Street, S.F.;-122.4195095;37.7780757
Civic Center, S.F.;-122.4195095;37.7780757
Cornerstone, Berkeley;-122.2671952;37.8663488
Crate, 420 14th Street, Oakland;-122.2703209;37.8042683
DNA Lounge, S.F.;-122.4126746;37.7710559
Eagle, S.F.;-122.4133666;37.7700044
El Rey Theater, Chico;-121.8441985;39.7295038
El Rio, S.F.;-122.4216143;37.7468
Elbo Room, S.F.;-122.4215391;37.7625099
Eli's Mile High Club, Oakland;-122.269671;37.825786
Fillmore, S.F.;-122.4352607;37.7839302
Fox Theater, Oakland;-122.2722522;37.8080016
Golden Bull, Oakland;-122.2724634;37.8042002
Great American Music Hall, S.F.;-122.4210104;37.784807
Greek Theater, UC Berkeley Campus;-122.2566602;37.8735759
Harlow's, Sacramento;-121.4701893;38.573828
Hatch, 402 15th Street, Oakland;-122.2717416;37.8050561
Hemlock, S.F.;-122.420301;37.787356
Honey Hive Gallery, 4117 Judah Street, S.F.;-122.5063551;37.7601905
Independent, S.F.;-122.4398436;37.7755465
Institute for Integral Studies, 1453 Mission Street, S.F.;-122.4185198;37.7746224
Jazzschool, 2087 Addison Street, Berkeley;-122.2709651;37.8712507
Knockout, S.F.;-122.4221129;37.7451999
Legionnaire Saloon, Oakland;-122.2708187;37.8123826
Lobot Gallery, 1800 Campbell St., Oakland;-122.2948787;37.814835
Lost Church, 65 Capp, S.F.;-122.418409;37.765783
Maltese, 1600 Park Avenue, Chico;-121.8271249;39.7212474
Masonic, S.F.;-122.4153747;37.791287
Masonic, S.F;-122.4153748;37.7912915
Merchants Saloon, 401 2nd Street, Oakland;-122.2775095;37.7954984
Metro, Oakland;-122.2777909;37.797058
Mezzanine, S.F.;-122.4102674;37.7825541
Milk Bar, 1840 Haight St., S.F.;-122.4548054;37.7695363
Monarch, 101 6th Street, S.F.;-122.410645;37.7810082
Music City, 1353 Bush Street, S.F.;-122.4195814;37.7885446
Neck of the Woods, S.F.;-122.4657314;37.784179
New Parish, Oakland;-122.2747969;37.8076511
Night Light, Oakland;-122.2781325;37.7971539
Octopus Literary Salon, Oakland;-122.2676085;37.8104379
Phoenix Theater, Petaluma;-122.6430667;38.2348794
Planet Gemini, 2110 Fremont Street, Monterey;-121.861826;36.595963
Plough and Stars, 116 Clement St., S.F.;-122.4627223;37.7832646
Plough and Stars, S.F.;-122.4605347;37.7832657
Public Works, 161 Erie Street at Mission, S.F.;-122.4194268;37.7688759
Regency Ballroom, S.F.;-122.421573;37.787836
Rickshaw Stop, S.F.;-122.422641;37.7760029
Rite Spot, S.F.;-122.4149695;37.7638409
Robert Mondavi Winery, Oakville;-122.4096888;38.4414921
Second Act, 1727 Haight Street, S.F.;-122.4534067;37.769298
Senator Theater, Chico;-121.8397472;39.728102
Sharon Meadow, Golden Gate Park, S.F.;-122.4576422;37.7680894
Shoreline Amphitheater, Mountain View;-122.080765;37.4268879
Slim's, S.F.;-122.4154437;37.7714655
Social Hall, S.F.;-122.4234378;37.7877708
Starline Social Club, 2232 MLK, Oakland;-122.27253;37.8122828
Starline Social Club, Oakland;-122.272508;37.812282
Stork Club, Oakland;-122.2706259;37.8131318
Streetlight Records, Santa Cruz;-122.0253594;36.9707881
Sweetwater Music Hall, Mill Valley;-122.550201;37.9069745
Thee Parkside, S.F.;-122.3999114;37.765222
UC Theater, Berkeley;-122.2719536;37.8718207
Warfield, S.F.;-122.4123447;37.782739
Yoshi's, Oakland;-122.2785532;37.796237
